server  |Tue Feb 06 2018 06:41:48 GMT+0100 (CET)|1517895708741| Server STATUS:101110
server  |Tue Feb 06 2018 06:41:48 GMT+0100 (CET)|1517895708742| server sent ok 
server  |Tue Feb 06 2018 06:41:50 GMT+0100 (CET)|1517895710001| S21
sensor21|Tue Feb 06 2018 06:41:50 GMT+0100 (CET)|1517895710120| Sensor21 STATUS:1000010
sensor21|Tue Feb 06 2018 06:41:50 GMT+0100 (CET)|1517895710124| Sensor21 got data
server  |Tue Feb 06 2018 06:41:50 GMT+0100 (CET)|1517895710128| Server STATUS:101110
server  |Tue Feb 06 2018 06:41:50 GMT+0100 (CET)|1517895710128| server sent ok 
sensor21|Tue Feb 06 2018 06:41:50 GMT+0100 (CET)|1517895710231| Try sent data: 
sensor21|Tue Feb 06 2018 06:41:50 GMT+0100 (CET)|1517895710238| 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
server  |Tue Feb 06 2018 06:41:50 GMT+0100 (CET)|1517895710256| Server STATUS:1000010
server  |Tue Feb 06 2018 06:41:50 GMT+0100 (CET)|1517895710287| server got data 
server  |Tue Feb 06 2018 06:41:50 GMT+0100 (CET)|1517895710288| Get buffer from Sensor21
server  |Tue Feb 06 2018 06:41:50 GMT+0100 (CET)|1517895710288| 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
server  |Tue Feb 06 2018 06:41:50 GMT+0100 (CET)|1517895710288| 21
server  |Tue Feb 06 2018 06:41:50 GMT+0100 (CET)|1517895710288| Server got data from Sensor21
server  |Tue Feb 06 2018 06:41:50 GMT+0100 (CET)|1517895710303| 2020202|2020202|2020202|202|202|2~
sensor21|Tue Feb 06 2018 06:41:50 GMT+0100 (CET)|1517895710365| Sensor21 STATUS:101110
sensor21|Tue Feb 06 2018 06:41:50 GMT+0100 (CET)|1517895710370| Sensor21 sent data
server  |Tue Feb 06 2018 06:41:51 GMT+0100 (CET)|1517895711546| S11
server  |Tue Feb 06 2018 06:41:51 GMT+0100 (CET)|1517895711674| Server STATUS:11110
server  |Tue Feb 06 2018 06:41:51 GMT+0100 (CET)|1517895711690| Server FAIL data
server  |Tue Feb 06 2018 06:41:52 GMT+0100 (CET)|1517895712917| S12
server  |Tue Feb 06 2018 06:41:53 GMT+0100 (CET)|1517895713061| Server STATUS:11110
server  |Tue Feb 06 2018 06:41:53 GMT+0100 (CET)|1517895713061| Server FAIL data
server  |Tue Feb 06 2018 06:41:54 GMT+0100 (CET)|1517895714304| S21
server  |Tue Feb 06 2018 06:41:54 GMT+0100 (CET)|1517895714432| Server STATUS:101110
server  |Tue Feb 06 2018 06:41:54 GMT+0100 (CET)|1517895714432| server sent ok 
server  |Tue Feb 06 2018 06:41:55 GMT+0100 (CET)|1517895715691| S21
